Class;Identifier;MIT-Addr.;IEC-Addr.;Type;Initial;Comment;Remark
VAR_GLOBAL;CTW92_01_02_ANTAL_IGAR;D1748;%MD0.1748;REAL;0;CTW92_01_02 Starter igår minuter;
VAR_GLOBAL;CTW92_01_02_ANTAL_TOTAL;D1750;%MD0.1750;REAL;0;CTW92_01_02 Starter totalt;
VAR_GLOBAL;CTW92_01_02_AUTO_ON;;;BOOL;FALSE;CTW92_01_02 Auto start från logik;
VAR_GLOBAL;CTW92_01_02_D;X143;%IX323;BOOL;FALSE;Kylfläktar Drift;
VAR_GLOBAL;CTW92_01_02_HMI_AUTO;M2470;%MX0.2470;BOOL;FALSE;CTW92_01_02 HMI Auto manöver;
VAR_GLOBAL;CTW92_01_02_HMI_MAN;M2471;%MX0.2471;BOOL;FALSE;CTW92_01_02 HMI Man manöver;
VAR_GLOBAL;CTW92_01_02_HMI_OFF;M2473;%MX0.2473;BOOL;FALSE;CTW92_01_02 HMI Off manöver;
VAR_GLOBAL;CTW92_01_02_HMI_ON;M2472;%MX0.2472;BOOL;FALSE;CTW92_01_02 HMI On manöver;
VAR_GLOBAL;CTW92_01_02_Q;X145;%IX325;BOOL;FALSE;Kylfläktar Utlöst motorskydd;
VAR_GLOBAL;CTW92_01_02_REMOTE;M2478;%MX0.2478;BOOL;FALSE;CTW92_01_02 Remote;
VAR_GLOBAL;CTW92_01_02_RESET_ANTAL;;;BOOL;FALSE;CTW92_01_02 Nollställ antal starter;
VAR_GLOBAL;CTW92_01_02_RESET_TID;;;BOOL;FALSE;CTW92_01_02 Nollställ drifttider;
VAR_GLOBAL;CTW92_01_02_RESTART_ET;;;REAL;0;CTW92_01_02 Kvar på restarttid ms;
VAR_GLOBAL;CTW92_01_02_RUN;;;BOOL;FALSE;CTW92_01_02 Drift signal från I/O;
